Ligand,Additive,Base,Aryl halide,Yield
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc2c(c1)onc2,CN(C(=NC(C)(C)C)N(C)C)C,FC(c1ccc(cc1)Cl)(F)F,0.0519573295699999
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1ccon1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,FC(c1ccc(cc1)Br)(F)F,0.1261696695999999
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)CN(c1ccno1)Cc1ccccc1,CN1CCCN2C1=NCCC2,COc1ccc(cc1)I,0.0
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,Cc1onc(c1)C,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)Cl)(F)F,0.142414228
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,CCOC(=O)c1onc(c1)OC,CN(C(=NC(C)(C)C)N(C)C)C,Brc1ccccn1,0.5660877307
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,Cc1ccno1,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)Br,0.6826027768
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc2c(c1)onc2,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)Cl)(F)F,0.2917558441
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc(cc1)c1ccno1,CN(C(=NC(C)(C)C)N(C)C)C,Ic1cccnc1,0.86003404
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc2c(c1)onc2,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Cl,0.00538585368
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)I,0.1840781283999999
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc(cc1)c1conc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Ic1cccnc1,0.6857486470999999
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1ccco1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)Cl,0.00649110542
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1ccon1,CN(C(=NC(C)(C)C)N(C)C)C,Ic1cccnc1,0.9073131654
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1conc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)I,0.03876829723
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1cnoc1C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Br,0.1485699263
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1onc(c1)OC,CN(C(=NC(C)(C)C)N(C)C)C,CCc1ccc(cc1)Br,0.5733300234
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc(cc1)c1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Brc1ccccn1,0.3630636065
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1conc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,FC(c1ccc(cc1)I)(F)F,0.0
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1noc(c1)c1ccccc1,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)Br,0.2583582864
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1ccon1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Cl,0.0
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1noc(c1)C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)I,0.5737548977
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1conc1,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)Br,0.5290774845
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,Cc1ccon1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,FC(c1ccc(cc1)Br)(F)F,0.4794242943
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1onc(c1)n1cccc1,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.2562052054
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)c1ccno1,CN(C(=NC(C)(C)C)N(C)C)C,CCc1ccc(cc1)I,0.250736586
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,COC(=O)c1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Br,0.09492103343
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)c1ccno1,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)Cl,0.00456472494
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc(cc1)CN(c1nocc1)Cc1ccccc1,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.8481458604000001
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1nocc1,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.8612188157999999
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,CCOC(=O)c1cnoc1C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Ic1cccnc1,0.1813660134
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1conc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Ic1ccccn1,0.1003634536
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1conc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,FC(c1ccc(cc1)Cl)(F)F,0.00698318685
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc2c(c1)onc2,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)Cl,0.0
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)c1nocc1,CN1CCCN2C1=NCCC2,COc1ccc(cc1)Cl,0.00844427684
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1noc(c1)c1ccccc1,CN(C(=NC(C)(C)C)N(C)C)C,CCc1ccc(cc1)Br,0.251224442
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,Fc1cccc(c1c1ccno1)F,CN(C(=NC(C)(C)C)N(C)C)C,Brc1cccnc1,0.421300284
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1noc(c1)c1ccccc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Br,0.4207740888
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,Cc1onc(c1)C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,FC(c1ccc(cc1)Br)(F)F,0.1965092582
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc(cc1)CN(c1ccno1)Cc1ccccc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Brc1cccnc1,0.1848421566
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1conc1,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.2782910373
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)CN(c1ccno1)Cc1ccccc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)Br,0.1402250347
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1ccco1,CN(C(=NC(C)(C)C)N(C)C)C,CCc1ccc(cc1)I,0.5993143231
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc(cc1)c1conc1,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)Br,0.4940490981
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,Cc1noc(c1)c1ccccc1,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.8251131881
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc2c(c1)onc2,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)Br,0.2587549138
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1conc1,CN(C(=NC(C)(C)C)N(C)C)C,Brc1ccccn1,0.5546040564
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc2c(c1)noc2,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)I,0.1544371593
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,CCOC(=O)c1conc1,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.4001187418
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1noc(c1)c1ccccc1,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.7298033012
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1ccon1,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.8303295526000001
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,Cc1onc(c1)n1cccc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Clc1ccccn1,0.5337807808
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1cccs1,CN1CCCN2C1=NCCC2,Clc1cccnc1,0.0335256921
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc(cc1)CN(c1ccno1)Cc1ccccc1,CN(C(=NC(C)(C)C)N(C)C)C,Brc1cccnc1,0.4172955132
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,CCOC(=O)c1noc(c1)C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Ic1ccccn1,0.7313965752999999
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1conc1,CN1CCCN2C1=NCCC2,Brc1ccccn1,0.1185200713
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc2c(c1)onc2,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)Br,0.6264758393000001
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Ic1ccccn1,0.2705720868
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Fc1cccc(c1c1ccno1)F,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)Cl)(F)F,0.1318136791
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc(cc1)c1ccno1,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)Cl)(F)F,0.1496739578
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1ccno1,CN1CCCN2C1=NCCC2,Clc1cccnc1,0.06968929302
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1noc(c1)C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)Cl,0.03420166341
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1onc(c1)C,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)I,0.6884449524999999
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1cccs1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,CCc1ccc(cc1)Br,0.6369608905999999
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1cnoc1C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Brc1ccccn1,0.1858444117
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1conc1,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)I,0.8329437838
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1conc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Clc1ccccn1,0.2370056273
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1cccs1,CN(C(=NC(C)(C)C)N(C)C)C,Clc1ccccn1,0.6607394644
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,COC(=O)c1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Cl,0.0
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,Cc1onc(c1)n1cccc1,CN1CCCN2C1=NCCC2,Clc1cccnc1,0.2170039266
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1ccon1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Cl,0.0
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc(cc1)c1ccno1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)I,0.1685702348999999
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1cccs1,CN1CCCN2C1=NCCC2,COc1ccc(cc1)Cl,0.00381599662
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc(cc1)CN(c1nocc1)Cc1ccccc1,CN(C(=NC(C)(C)C)N(C)C)C,FC(c1ccc(cc1)Cl)(F)F,0.1916223305999999
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,Cc1onc(c1)C,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.8607412603
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,COC(=O)c1ccno1,CN(C(=NC(C)(C)C)N(C)C)C,Brc1cccnc1,0.02546576237
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc2c(c1)noc2,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)I,0.01742923089
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1onc(c1)C,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)Br,0.5785208433
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,COC(=O)c1ccno1,CN(C(=NC(C)(C)C)N(C)C)C,FC(c1ccc(cc1)I)(F)F,0.1853801466
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1onc(c1)OC,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.7951166554000001
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc(cc1)CN(c1ccno1)Cc1ccccc1,CN1CCCN2C1=NCCC2,Ic1cccnc1,0.6735182955000001
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc2c(c1)onc2,CN(C(=NC(C)(C)C)N(C)C)C,FC(c1ccc(cc1)Br)(F)F,0.2222290277
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,CCOC(=O)c1onc(c1)OC,CN(C(=NC(C)(C)C)N(C)C)C,FC(c1ccc(cc1)I)(F)F,0.3762624076
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1conc1,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.3011566658
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc2c(c1)onc2,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.8000019125
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc2c(c1)onc2,CN1CCCN2C1=NCCC2,Brc1ccccn1,0.6775052852000001
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,CCOC(=O)c1onc(c1)C,CN1CCCN2C1=NCCC2,Brc1cccnc1,0.8653541708
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1nocc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,Brc1cccnc1,0.0480921591
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1onc(c1)C,CN1CCCN2C1=NCCC2,CCc1ccc(cc1)I,0.8489551287
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc2c(c1)onc2,CN1CCCN2C1=NCCC2,Clc1ccccn1,0.7739811795
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,c1ccc(cc1)CN(c1nocc1)Cc1ccccc1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)I,0.6601585423999999
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,Fc1cccc(c1c1ccno1)F,CN(C(=NC(C)(C)C)N(C)C)C,Ic1ccccn1,0.6137532466
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1ccco1,CN1CCCN2C1=NCCC2,Brc1ccccn1,0.4996376516
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,c1ccc(cc1)c1conc1,CN1CCCN2C1=NCCC2,Clc1cccnc1,0.2994942755
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1conc1,CN(C(=NC(C)(C)C)N(C)C)C,CCc1ccc(cc1)Cl,0.0
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1noc(c1)C,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)I,0.4387183310999999
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,COC(=O)c1noc(c1)c1ccco1,CN1CCCN2C1=NCCC2,Ic1ccccn1,0.8794083651000001
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,CCOC(=O)c1onc(c1)OC,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)Br,0.116535106
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,COC(=O)c1noc(c1)c1ccco1,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)I)(F)F,0.340336157
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,CCOC(=O)c1onc(c1)C,CN(C(=NC(C)(C)C)N(C)C)C,Brc1ccccn1,0.8308846167
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,Cc1ccon1,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,COc1ccc(cc1)Br,0.4557576479
CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,c1ccc2c(c1)onc2,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)Br,0.1325145724999999
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,Cc1ccon1,CN1CCCN2C1=NCCC2,FC(c1ccc(cc1)I)(F)F,0.4742870408
COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)OC,Cc1onc(c1)C,CCN=P(N(C)C)(N(C)C)N=P(N(C)C)(N(C)C)N(C)C,FC(c1ccc(cc1)Br)(F)F,0.09025273637
CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,c1ccc2c(c1)noc2,CN(C(=NC(C)(C)C)N(C)C)C,COc1ccc(cc1)Br,0.0
